scenario_name,phase_label,wifi_state,wifi_density,drone_state,drone_mode,record_count,persistence_window,relative_persistence_ch_0,relative_persistence_ch_1,relative_persistence_ch_2,relative_persistence_ch_3,relative_persistence_ch_4,relative_persistence_ch_5,relative_persistence_ch_6,relative_persistence_ch_7,relative_persistence_ch_8,relative_persistence_ch_9,relative_persistence_ch_10,relative_persistence_ch_11,relative_persistence_ch_12,relative_persistence_ch_13,relative_persistence_ch_14,relative_persistence_ch_15,relative_persistence_ch_16,relative_persistence_ch_17,relative_persistence_ch_18,relative_persistence_ch_19,relative_persistence_ch_20,relative_persistence_ch_21,relative_persistence_ch_22,relative_persistence_ch_23,relative_persistence_ch_24,relative_persistence_ch_25,relative_persistence_ch_26,relative_persistence_ch_27,relative_persistence_ch_28,relative_persistence_ch_29,relative_persistence_ch_30,relative_persistence_ch_31,relative_persistence_ch_32,relative_persistence_ch_33,relative_persistence_ch_34,relative_persistence_ch_35,relative_persistence_ch_36,relative_persistence_ch_37,relative_persistence_ch_38,relative_persistence_ch_39,relative_persistence_ch_40,relative_persistence_ch_41,relative_persistence_ch_42,relative_persistence_ch_43,relative_persistence_ch_44,relative_persistence_ch_45,relative_persistence_ch_46,relative_persistence_ch_47,relative_persistence_ch_48,relative_persistence_ch_49,relative_persistence_ch_50,relative_persistence_ch_51,relative_persistence_ch_52,relative_persistence_ch_53,relative_persistence_ch_54,relative_persistence_ch_55,relative_persistence_ch_56,relative_persistence_ch_57,relative_persistence_ch_58,relative_persistence_ch_59,relative_persistence_ch_60,relative_persistence_ch_61,relative_persistence_ch_62,relative_persistence_ch_63,relative_persistence_ch_64,relative_persistence_ch_65,relative_persistence_ch_66,relative_persistence_ch_67,relative_persistence_ch_68,relative_persistence_ch_69,relative_persistence_ch_70,relative_persistence_ch_71,relative_persistence_ch_72,relative_persistence_ch_73,relative_persistence_ch_74,relative_persistence_ch_75,relative_persistence_ch_76,relative_persistence_ch_77,relative_persistence_ch_78,relative_persistence_ch_79,relative_persistence_ch_80,relative_persistence_ch_81,relative_persistence_ch_82,relative_persistence_ch_83,relative_persistence_ch_84,relative_persistence_ch_85,relative_persistence_ch_86,relative_persistence_ch_87,relative_persistence_ch_88,relative_persistence_ch_89,relative_persistence_ch_90,relative_persistence_ch_91,relative_persistence_ch_92,relative_persistence_ch_93,relative_persistence_ch_94,relative_persistence_ch_95,relative_persistence_ch_96,relative_persistence_ch_97,relative_persistence_ch_98,relative_persistence_ch_99,relative_persistence_ch_100,relative_persistence_ch_101,relative_persistence_ch_102,relative_persistence_ch_103,relative_persistence_ch_104,relative_persistence_ch_105,relative_persistence_ch_106,relative_persistence_ch_107,relative_persistence_ch_108,relative_persistence_ch_109,relative_persistence_ch_110,relative_persistence_ch_111,relative_persistence_ch_112,relative_persistence_ch_113,relative_persistence_ch_114,relative_persistence_ch_115,relative_persistence_ch_116,relative_persistence_ch_117,relative_persistence_ch_118,relative_persistence_ch_119,relative_persistence_ch_120,relative_persistence_ch_121,relative_persistence_ch_122,relative_persistence_ch_123,relative_persistence_ch_124,phase_order
NO_WIFI,No WiFi,0,none,0,none,61,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WIFI_NORMAL,WiFi Normal,1,normal,0,none,61,10,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.5,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.9285714285714286,0.42857142857142855,0.7142857142857143,1.0,0.5,0.5,0.7142857142857143,0.2857142857142857,0.6428571428571429,0.5,0.5714285714285714,0.5,0.5,0.42857142857142855,0.42857142857142855,0.5,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,1
WIFI_PADAT,WiFi Padat,1,padat,0,none,61,10,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.9166666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,1.0,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
DRONE_ONLY,Drone Only,0,none,1,active_only,61,10,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.041666666666666664,0.08333333333333333,0.4166666666666667,0.22916666666666666,0.10416666666666667,0.14583333333333334,0.10416666666666667,0.25,0.1875,0.375,0.10416666666666667,0.1875,0.0625,0.25,0.10416666666666667,0.10416666666666667,0.3125,0.3333333333333333,0.25,0.14583333333333334,0.3125,0.10416666666666667,0.0625,0.020833333333333332,0.0625,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0625,0.10416666666666667,0.25,1.0,0.5416666666666666,0.5625,0.1875,0.08333333333333333,0.0,0.020833333333333332,0.041666666666666664,0.10416666666666667,0.125,0.10416666666666667,0.14583333333333334,0.125,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
WIFI_NORMAL_DRONE_IDLE,WiFi Normal + Drone Idle,1,normal,1,idle,61,10,0.02,0.02,0.04,0.02,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.12,0.1,0.08,0.16,0.22,0.18,0.12,0.28,0.14,0.26,0.16,0.3,0.2,0.08,0.12,0.22,0.26,0.08,0.14,0.16,0.08,0.24,0.04,0.04,0.06,0.02,0.04,0.02,0.06,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.12,0.32,0.38,1.0,0.68,0.4,0.42,0.14,0.0,0.04,0.1,0.1,0.12,0.12,0.12,0.1,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0,0.02,0.0,4
WIFI_NORMAL_DRONE_TERBANG,WiFi Normal + Drone Terbang,1,normal,1,terbang,61,10,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.05084745762711865,0.06779661016949153,0.05084745762711865,0.05084745762711865,0.0847457627118644,0.22033898305084745,0.23728813559322035,0.11864406779661017,0.11864406779661017,0.22033898305084745,0.1694915254237288,0.13559322033898305,0.11864406779661017,0.22033898305084745,0.2033898305084746,0.0847457627118644,0.13559322033898305,0.0847457627118644,0.15254237288135594,0.1016949152542373,0.13559322033898305,0.1694915254237288,0.1694915254237288,0.11864406779661017,0.03389830508474576,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779661016949153,0.13559322033898305,0.3728813559322034,0.8983050847457628,0.6440677966101694,1.0,0.23728813559322035,0.06779661016949153,0.0,0.0,0.05084745762711865,0.06779661016949153,0.1016949152542373,0.0847457627118644,0.0847457627118644,0.1016949152542373,0.05084745762711865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.06779661016949153,0.01694915254237288,0.03389830508474576,0.01694915254237288,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.01694915254237288,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.0,5
WIFI_PADAT_DRONE_IDLE,WiFi Padat + Drone Idle,1,padat,1,idle,61,10,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.26229508196721313,0.3114754098360656,0.11475409836065574,0.16393442622950818,0.39344262295081966,0.3442622950819672,0.32786885245901637,0.4426229508196721,0.4262295081967213,0.5245901639344263,0.5081967213114754,0.32786885245901637,0.22950819672131148,0.4098360655737705,0.26229508196721313,0.19672131147540983,0.32786885245901637,0.09836065573770492,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.03278688524590164,0.11475409836065574,0.14754098360655737,0.5409836065573771,1.0,0.639344262295082,0.11475409836065574,0.03278688524590164,0.01639344262295082,0.0,0.01639344262295082,0.04918032786885246,0.06557377049180328,0.04918032786885246,0.06557377049180328,0.08196721311475409,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
WIFI_PADAT_DRONE_TERBANG,WiFi Padat + Drone Terbang,1,padat,1,terbang,61,10,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.03278688524590164,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.08196721311475409,0.19672131147540983,0.19672131147540983,0.19672131147540983,0.19672131147540983,0.3114754098360656,0.29508196721311475,0.36065573770491804,0.639344262295082,0.2786885245901639,0.21311475409836064,0.3770491803278688,0.2459016393442623,0.26229508196721313,0.5245901639344263,0.18032786885245902,0.2459016393442623,0.08196721311475409,0.13114754098360656,0.11475409836065574,0.09836065573770492,0.11475409836065574,0.14754098360655737,0.11475409836065574,0.11475409836065574,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.03278688524590164,0.14754098360655737,0.2459016393442623,1.0,0.5901639344262295,0.26229508196721313,0.14754098360655737,0.06557377049180328,0.03278688524590164,0.04918032786885246,0.03278688524590164,0.06557377049180328,0.04918032786885246,0.03278688524590164,0.06557377049180328,0.06557377049180328,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.0,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
